Country Name,Country Code,Year,"average_value_Adjusted net enrollment rate, primary, female (% of primary school age children)","average_value_Adjusted net enrollment rate, primary, male (% of primary school age children)","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)",average_value_Births attended by skilled health staff (% of total),"average_value_Children out of school, primary, female","average_value_Children out of school, primary, male","average_value_Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","average_value_Fertility rate, total (births per woman)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Mortality rate, adult, female (per 1,000 female adults)","average_value_Mortality rate, adult, male (per 1,000 male adults)","average_value_Persistence to last grade of primary, female (% of cohort)","average_value_Persistence to last grade of primary, male (% of cohort)","average_value_Primary education, teachers (% female)","average_value_Progression to secondary school, female (%)","average_value_Progression to secondary school, male (%)","average_value_Repeaters, primary, female (% of female enrollment)","average_value_Repeaters, primary, male (% of male enrollment)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, secondary, female (% net)","average_value_School enrollment, secondary, male (% gross)","average_value_School enrollment, secondary, male (% net)","average_value_School enrollment, tertiary, female (% gross)","average_value_School enrollment, tertiary, male (% gross)","average_value_Secondary education, general pupils (% female)","average_value_Secondary education, pupils (% female)","average_value_Secondary education, teachers (% female)","average_value_Secondary education, vocational pupils (% female)","average_value_Survival to age 65, female (% of cohort)","average_value_Survival to age 65, male (% of cohort)","average_value_Trained teachers in primary education, female (% of female teachers)","average_value_Trained teachers in primary education, male (% of male teachers)"
Norway,NOR,2005,98.66178,98.36917,9.3386,99.2,2839,3653,,,,,,,99.79252625,99.86161041,99.82627869,30.14444923,30.86285019,30.49546051,28.22839928,26.90921021,27.58382988,68.44454193,74.22499847,71.26889801,1.84,82.5,77.7,55.982,88.359,99.44612885,98.90115356,,100,99.37706,,,114.3130417,97.21807,113.233963,96.31776,95.14269257,62.44738007,51.19237,48.93927,,44.30935,91.1533478,86.015228,,
Nepal,NPL,2009,,,83.7664,,,,,,,,,,,,,,,,,,,,,,2.644,68.563,65.863,161.927,202.017,,,38.61074829,,,14.41228,14.65634,48.78900146,,54.71606064,,8.579489708,13.90713024,46.66109,46.49695,20.89603043,,72.3980344,66.3367308,,
Nepal,NPL,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,PER,1985,,,87.2314,,,,,,,,,,,,,,,,,,,,,,4.46,65.303,61.015,161.003,229.013,,,60.07128906,,,,,57.88003159,,63.77645111,,,,46.76082,46.76082,,,69.4653588,60.8783122,,
Palau,PLW,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,PSE,1983,,,97.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.075669,61.9235274,,
Pacific island small states,PSS,1988,,,63.84839597,,,,,,,,,,,,,,,,,,,,,,4.452229768,66.79772242,63.19172613,212.8849278,273.5530129,82.16927,82.27098,53.16865,78.0137,77.41757,2.98043,4.9649,62.91379,,62.84707,,4.662380219,5.330989838,48.84583,48.35794,,39.31953,68.99023927,58.91746752,,
Post-demographic dividend,PST,2009,96.25891,95.89388,19.71676387,,571660,737657,,,,,,,,,,,,,,,,,,,1.671738004,82.41464207,76.70165204,63.30066775,122.0871674,95.06146,94.44062,82.42745,97.64727,98.27107,1.1689,1.60198,101.3996,89.15075,101.3731,87.77857,82.3857193,66.83297729,49.64673,48.62335,59.51978,42.76518,90.09877062,81.8171439,,
French Polynesia,PYF,1966,,,103.9494,,,,,,,,,,,,,,,,,,,,,,5.267,60.547,57.031,288.62,352.379,,,,,,,,,,,,,,,,,,55.7951544,48.7373544,,
Sudan,SDN,2017,61.01514,62.36444,63.993,,1226657,1216359,,,,,,,,,,,,,,,,,,,4.469,66.705,63.09,189.477,247.008,,,,,,2.32726,2.75814,46.95737839,,46.29423141,,,,50.0333,49.74245,,24.27711,69.197312,61.861229,,
Solomon Islands,SLB,2004,,,67.1162,,,,,,,,,,,,,,,,,,,,,,4.513,70.457,67.425,182.624,222.044,,,,,,,,,,,,,,,,,,72.3338916,66.1129804,,
Sierra Leone,SLE,2007,,,146.085,,,,,,,,,,,,,,,,,,,,,,5.621,47.309,45.699,440.007,455.078,,,,,,10.1821,9.72597,,,,,,,,,,,39.414263,34.636203,,
Serbia,SRB,1982,,,53.175,,,,,,,,,,,,,,,,,,,,,,,,,112.805,192.921,,,,,,,,,,,,,,,,,,79.781503,67.711581,,
Sub-Saharan Africa,SSF,1966,,,153.8632402,,,,,,,,,,,,,,,,,,,,,,6.682992089,44.34172971,41.49023066,393.9042431,452.0397376,,,,,,,,,,,,,,,,,,37.33076458,31.65973979,,
Sub-Saharan Africa,SSF,2008,72.22851,78.19727,118.3253267,,17500000,13600000,,,,,,,,,,,,,,,,,,,5.371375445,56.65915566,53.71139702,324.9943785,375.3791295,60.46131,60.54139,44.18368,73.71195,74.475,8.63547,9.20612,31.95875,26.39904,40.09652,31.40719,5.7385602,8.18309021,44.48951,44.10007,30.50328,38.45812,52.20350125,45.58630993,76.43759918,69.26470947
Chad,TCD,1976,,,214.569,,,,,,,,,,,,,,,,,,,,,,6.82,44.871,42.516,388.88,437.642,21.20396042,35.2359581,,,,33.56503,35.35537,,,,,0.01528,0.288610011,,,,8.07601,37.6595086,33.1038412,,
Chad,TCD,1977,13.82605,35.61371,215.844,,281476,209927,,,,,,,,,,,,,,,,,,,6.857,45.123,42.824,386.485,433.719,,,,,,34.28218,36.51792,,,,,0.020810001,0.393779993,,,,,38.00068,33.572512,,
Timor-Leste,TLS,1967,,,60.656,,,,,,,,,,,,,,,,,,,,,,5.858,38.211,37.031,493.485,540.464,,,,,,,,,,,,,,,,,,27.045403,23.503756,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,2007,70.7902,77.53763,119.8572038,,17900000,13600000,,,,,,,,,,,,,,,,,,,5.423245365,55.85214263,52.94357419,336.5914975,385.0446224,56.57697,57.46875,44.0393,74.19931,74.84451,8.94624,9.40974,29.81931,24.6815,38.34024,29.84663,5.474619865,7.72935009,43.8562,43.5034,28.85918,38.37065,50.82452817,44.40668276,75.36749268,68.58654022
Sub-Saharan Africa (IDA & IBRD countries),TSS,2012,74.59158,79.12336,111.9081897,,17400000,14200000,,,,,,,,,,,,,,,,,,,5.12831823,59.77087678,56.54551028,279.0148494,337.0298627,56.81943,54.95649,44.89357,75.29551,76.22018,8.3784,8.69795,38.49644,30.45422,45.41782,34.42893,7.131899834,9.977800369,46.03579,45.55822,31.77742,38.29515,57.68910144,50.28624582,72.92707062,68.44667053
World,WLD,1977,,,71.25604316,,74100000,45000000,,,,,,,,,,,,,,,,,,,3.936737207,63.98193122,59.84826304,188.4355529,253.3589673,69.86779,68.82987,51.78189,,,7.76767,9.74755,43.926,,54.41308,,10.4094696,13.00864983,43.57988,43.56202,47.39908,43.41246,67.04054587,58.12540457,,
Kosovo,XKX,2009,,,,,,,,,,,,,,,,,,,,,,,,,2.33,72.3,67.7,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,2019,,,57.9728,,,,,,,,,,,,,,,,,,,,,,3.7,67.826,64.443,173.917,219.239,,,,,,,,,,,,,,,,,,71.1105126,63.9197366,,
South Africa,ZAF,1980,,,108.1622,,,,,,,,,,,,28.12865067,,,1.354760051,,,1.354760051,,,11.31126022,4.98,60.478,55.874,278.552,401.355,,,,,,,,,,,,,,,,,,59.1849108,48.9671832,,
South Africa,ZAF,1995,90.84667,88.64971,82.378,82,333825,421243,,,,,,,,,,,,,,,,,,,3.144,65.246,58.171,262.637,389.195,,,73.54421997,,,,,,,,,,,54.39602,,,,63.908514,48.0304536,,
South Africa,ZAF,2004,95.35997,93.30931,66.3538,91.2,160915,235869,,,,,,,62.90370178,66.10935211,64.39372253,10.47539997,11.34496021,10.87957954,4.34209013,5.550139904,4.903610229,48.61180878,52.20679855,50.28279877,2.603,55.974,51.061,446.554,556.443,,,76.20200348,,,7.50757,8.39075,89.32212067,68.18711,82.67034149,62.01924,,,52.26732,51.53134,51.8192482,40.00015,46.411622,34.127954,,
Zambia,ZMB,1988,78.2114,80.22794,160.9182,,164020,151541,,,,,,,,,,,,,,,,,,,6.563,52.306,50.053,439.483,551.453,,,44.75392914,,,,,14.6557703,,24.51734924,,1.159500003,3.081510067,37.27634,37.12236,21.13978958,34.34637,46.9778496,42.0095576,,
Africa Eastern and Southern,AFE,1980,,,139.5136931,,,,,,,,,,,,,,,,,,,,,,6.712571025,51.45606889,48.32563001,331.5596442,399.2771014,,,,,,,,,,,,,,,,,,47.07788643,40.50321389,,
United Arab Emirates,ARE,1968,,,171.729,,,,,,,,,,,,,,,,,,,,,,6.757,61.56,57.654,205.107,262.194,,,,,,,,,,,,,,,,,,62.289207,54.4496806,,
United Arab Emirates,ARE,2016,,,8.5908,,,,,,2.53628993,,,31.69047928,,,70.71038818,,,43.47360992,,,34.85988998,,,53.07051086,1.491,78.846,76.79,55.786,79.29,,,90.20081329,,,,,93.32652283,85.87854,97.33268738,88.24077,,,48.86481,48.60796,67.93910217,35.30959,88.496879,84.8383888,100,100
Argentina,ARG,2001,,,65.2066,98.4,,,,,,,,,46.0987587,45.65922928,45.8916893,,,,12.7761898,9.178460121,11.08125019,35.93769073,32.44736099,34.29335022,2.512,77.155,70.307,96.186,179.206,89.04531097,90.62271118,86.36244202,99.56317,95.26872,5.17353,7.49334,99.32843018,80.92482,94.40511322,77.00817,69.85579681,48.15512085,50.83819,50.83819,66.04064178,,84.1379044,71.9414128,,
Austria,AUT,1992,,,20.389,,,,,,,,,,,,,,,,,,,,,,1.51,79.3,72.5,71.612,152.976,,,82.42221069,,,,,100.5477219,,108.8767014,,35.33670044,39.8055687,48.69524,46.88975,54.70930099,44.35142,88.461035,76.470509,,
Belgium,BEL,2016,98.62326,98.69945,4.9266,,3382,2069,0.430750012,0.82972002,0.623889983,32.85063934,31.4383297,32.16696167,82.62143707,87.10012054,84.78952026,34.26369858,33.22880173,33.7627182,33.3036499,31.72796059,32.54087067,65.41165161,68.86348724,67.0826416,1.68,84,79,51.237,86.08,,,82.10690308,,,2.19315,2.36465,170.3596344,94.33716,152.1192627,93.9077,86.02861786,66.09980011,52.5184,51.69941,63.0071106,50.72167,91.4436068,85.7775436,,
Benin,BEN,1995,41.25013,72.28454,124.4002,,281208,134808,,,,,,,,,,,,,,,,,,,6.364,56.848,53.455,248.205,308.371,45.92134857,54.89556122,24.69454002,,,24.77625,24.27993,,,,,0.738070011,3.567929983,29.40671,,,,55.7283386,48.9952258,,
Benin,BEN,2011,,,98.8278,,,,,,,,,,,,,,,,,,,,,,5.305,60.997,58.135,229.635,276.786,57.77637863,60.48244095,19.86853981,,,10.75174,10.90059,37.63613129,,60.3650589,,5.488299847,20.15385056,37.85533,37.87644,,38.47559,61.1151476,55.4301226,47.18553162,46.81616974
Bahrain,BHR,1968,,,84.4128,,,,,,,,,,,,,,,,,,,,,,6.86,64.296,59.559,172.796,241.881,,,,,,,,,,,,,,,,,,66.6849414,56.5495358,,
Botswana,BWA,1965,,,161.7756,,,,,,,,,,,,,,,,,,,,,,6.692,54.634,48.523,315.863,378.074,,,,,,,,,,,,,,,,,,50.554992,37.2850416,,
Canada,CAN,1996,95.00646,96.34626,21.1218,99.2,57977,44580,,,,,,,,,,,,,,,,,,,1.592,81.1,75.4,66.074,113.675,,,66.79972076,,,,,105.5632935,,105.3952789,,97.12400055,81.64810944,48.63129,48.63129,67.19789886,,89.3624642,82.2697438,,
Costa Rica,CRI,1989,86.90914,86.78821,96.3322,,26764,28153,,,,,,,,,,,,,,,,,,,3.324,78.178,72.888,84.078,133.15,,,,,,9.69553,12.24129,43.16933823,37.44717,41.93334961,35.75564,,,50.49874,49.97318,,48.19006,85.4058772,77.6889178,,
Czech Republic,CZE,1974,,,53.8794,,,,,,,,,,,,,,,,,,,,,,2.46,73.59,66.75,105.837,215.358,,,,,,,,86.76931763,,82.83786011,,6.968969822,11.30121994,50.94196,50.0115,,48.78305,81.7602932,65.5254474,,
Germany,DEU,1987,,,16.963,,,,,,,,,,,,,,,,,,,,,,1.43,77.849,71.427,,,,,,,,,,,,,,,,,,,,86.922917,75.027957,,
East Asia & Pacific,EAS,1988,,,30.35171293,,7207412,2567567,,,,,,,,,,,,,,,,,,,2.692588827,70.68149527,66.59774576,122.132773,169.8744205,,,47.46891,,,,,39.31057,,47.90561,,5.440700054,8.79417038,43.87233,43.89952,33.98822,44.12629,77.14223101,69.6095616,,
"Egypt, Arab Rep.",EGY,1989,,,94.034,,,,,,,,,,,,,,,,,,,,,,4.747,66.544,61.813,144.69,232.305,,,48.27878189,,,,,52.41751099,,70.9777298,,10.57635975,20.46525002,40.96706,41.34788,,42.5475,71.144704,60.3307692,,
Euro area,EMU,1982,,,20.85037706,,331915,391151,,,,,,,,,,,,,,,,,,,1.698098885,77.71333591,70.76874003,77.57396255,170.574144,94.47151,92.42632,73.71267,94.15992,94.16967,4.48611,6.33871,87.3711,77.51494,87.35471,75.5513,24.04361916,29.09539032,50.40172,48.80609,52.04557,44.96541,86.50506245,73.21640881,,
Euro area,EMU,1983,,,19.75302884,,380106,458753,,,,,,,,,,,,,,,,,,,1.639297394,77.78225204,70.84866976,78.20267796,171.3294631,94.92005,93.05918,74.66476,94.97197,94.90378,4.40726,6.15634,88.56829,78.01707,87.53191,76.00301,24.53142929,28.96784973,50.53373,49.10348,52.31119,45.73413,86.77903405,73.64073633,,
France,FRA,2005,,,7.5196,97.9,,,,,,,,,71.34104919,78.41684723,74.70168304,20.65707016,20.61539078,20.63727951,20.55278015,20.51656914,20.53557968,52.86819839,60.70573044,56.5906105,1.94,83.8,76.7,56.754,126.589,,,81.55037689,,,,,106.99189,93.47937,106.5808411,91.8238,59.99689865,47.86655045,50.83046,48.95585,58.05796051,43.73495,91.386462,81.6216066,,
"Micronesia, Fed. Sts.",FSM,2007,,,25.426,,,,,,,,,,,,,,,,,,,,,,3.661,67.556,64.326,161.565,186.416,,,,,,,,,,,,,,48.85579,,,,72.223,66.329366,,
Gabon,GAB,1997,90.83163,90.98443,151.7,,8145,8148,,,,,,,,,,,,,,,,,,,4.815,60.55,58.341,280.486,311.169,,,41.41151047,,,33.76851,35.18507,46.49042892,,52.53755951,,,,47.41807,46.60091,,,57.958118,53.328346,,
United Kingdom,GBR,1976,96.09413,95.66889,32.8068,,105345,123136,,,,,,,,,,,,,,,,,,,1.74,75.9,69.8,103.044,171.754,,,80.71038818,,,,,82.89038086,77.95317,82.00717926,76.85301,14.10377979,24.06360054,48.78933,49.00588,,54.1402,82.9223604,71.6946414,,
Greece,GRC,1987,91.10829,90.81067,29.175,99.69,39115,43168,,,,,,,,,,,,,,,,,,,1.5,78.868,72.484,72.88,141.544,,,49.25553894,,,0.13693,0.15902,89.61477661,81.18904,92.91121674,80.96939,26.33971977,24.67431068,50.33496,47.36237,53.11956024,29.35654,87.552254,77.00382,,
Grenada,GRD,1987,,,99.194,,,,,,,,,,,,,,,,,,,,,,4.146,71.253,66.116,151.837,246.62,,,69.91474152,,,,,89.62496185,,77.40016937,,,,52.89068,52.89068,48.02632141,,74.795666,63.45062,,
Greenland,GRL,1989,,,,,,,,,,,,,,,,,,,,,,,,,2.299,68.76,60.77,,,,,,,,,,,,,,,,,,,,,,,
Guam,GUM,1970,,,92.6536,,,,,,,,,,63.13685989,67.59929657,65.73364258,19.88011932,22.62623024,21.47900963,,,,,,,4.372,68.206,63.64,169.394,230.413,,,,,,,,,,,,,,,,,,71.8343958,62.5527346,,
High income,HIC,2013,96.06149,96.09599,15.23638908,,814271,813224,,,,,,,,,,,,,,,,,,,1.656464362,83.12089602,77.78152102,57.61387674,104.6863344,94.9743,93.57016,80.96984,97.39809,98.29463,1.26618,1.76801,105.115,89.16642,105.1491,88.21848,81.86118317,66.24957275,49.5245,48.55977,59.51326,43.46661,90.8025493,83.74836106,,
"Hong Kong SAR, China",HKG,1985,96.53091,95.51545,8.0744,,8351,11805,,,,,,,,,,,,,,,,,,,1.491,79.2,73.8,69.948,133.245,,,73.65068054,,,1.64403,2.41798,75.93963623,71.65372,70.41721344,65.48248,,,51.47993,49.6321,47.98711014,29.31745,87.87831,78.292247,,
Haiti,HTI,1984,43.08697,45.05143,82.9674,,255840,250688,,,,,,,,,,,,,,,,,,,6.106,53.859,50.774,313.779,362.268,14.34160042,16.01427078,49.7592392,85.81851,73.93596,,,,,,,0.718959987,1.47202003,48.15532,,,,49.4009958,43.8587274,,
"Iran, Islamic Rep.",IRN,1961,,,150.179,,,,,,,,,,,,,,,,,,,,,,6.924,44.817,46.167,374.369,357.53,,,,,,,,,,,,,,,,,,37.0582332,37.6626026,,
"Iran, Islamic Rep.",IRN,2003,93.88835,98.12408,32.507,,205984,65679,,,,,,,,,,,,,,,,,,,1.878,72.58,70.023,110.945,171.122,,,54.37285995,100,98.3064,2.85666,3.76698,74.89951324,,79.81391144,,20.74810982,19.56270027,48.34598,47.44187,,37.63659,80.3562982,74.4256116,,
Jamaica,JAM,2005,,,78.0092,96.7,,,,,,,,,,,,,,,,,,,,,2.361,75.473,72.846,115.33,193.691,,,,,,2.26851,3.29456,92.39720154,83.68249,87.06067657,77.72014,,,50.0613,50.0613,,,82.6601024,76.5819782,,
Jamaica,JAM,1999,91.53453,91.23857,89.8484,,14148,15027,,,,,,,,,,,,,,,,,,,2.623,75.518,72.837,125.371,213.433,,,,,,,,87.08157349,81.79052,85.78227234,80.6166,,,50.23989,50.25543,,58.37104,81.8105408,75.3577316,,
Kiribati,KIR,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),LAC,1979,,,91.79993864,,2503553,2254035,,,,,,,,,,,,,,,,,,,4.387572664,66.55125816,61.1190825,177.519859,269.1203714,56.13789,51.07314,80.23181,,,11.29802,14.23509,72.68286,,69.95999,,10.74279976,14.81322956,49.80606,50.64619,55.5174,54.44352,69.16713987,58.33941736,,
Latin America & Caribbean,LCN,2007,95.53023,94.71298,73.66373757,,593463,772784,,,,,,,,,,,,,,,,,,,2.276736015,76.75277563,70.30421398,103.2797048,193.1409829,83.94606,79.92584,77.84926,93.57426,95.00045,7.0365,8.41399,89.83634,71.91685,82.46301,66.20655,39.97478104,31.86290932,51.09368,51.2679,58.89093,52.9704,82.70488952,71.3475634,,
Lower middle income,LMC,1970,,,114.9709104,,37500000,23400000,,,,,,,,,,,,,,,,,,,5.807144927,51.20315777,49.66666449,314.2715305,346.1837851,47.48575,49.96664,37.58621,,,14.40761,14.8262,19.47944,,33.32488,,4.559430122,7.448390007,35.33441,35.48712,41.84572,38.15832,46.81712592,42.57023536,,
Lithuania,LTU,1964,,,17.3296,,,,,,,,,,,,,,,,,,,,,,2.28,74.91,68.27,103.965,201.364,,,,,,,,,,,,,,,,,,80.2384756,65.7992392,,
Maldives,MDV,1967,,,213.081,,,,,,,,,,,,,,,,,,,,,,7.231,41.709,42.094,442.985,378.02,,,,,,,,,,,,,,,,,,32.012612,35.176214,,
Mexico,MEX,2011,,,66.835,,,,,,,,,,,,,,,,,,,,,,2.317,77.952,72.056,83.722,148.983,96.52166748,95.01187897,66.86116791,96.29303,97.40805,2.39424,3.83283,91.30687714,72.06915,85.15087128,69.27626,28.03771973,28.64911079,50.19496,51.11628,49.25706863,55.97879,84.0606784,73.1117468,,
Malta,MLT,1984,92.14277,93.89237,13.391,,1268,1043,,,,,,,,,,,,,,,,,,,1.95,76.495,72.27,75.561,128.923,,,,96.07619,88.52327,1.21179,1.4119,75.78250885,73.97007,86.75537872,78.18265,2.467780113,6.958940029,51.86198,45.55751,35.92520142,18.27382,86.0172702,77.585711,,
Malta,MLT,2015,,,13.0422,99.8,,,0.156910002,0.402799994,0.279080003,12.89398003,13.68068027,13.28485966,73.22666168,81.97094727,77.57135773,21.42602921,26.73755074,24.0651207,16.17816925,16.71014977,16.44248962,35.45584869,38.3780899,36.90779877,1.37,84.1,79.8,36.681,66.946,,,85.68296814,97.14555,100,0.27532,0.27844,97.84510803,91.74513,92.12854767,86.17789,55.02756119,39.86320114,50.95567,50.1359,65.20491028,40.12567,93.3183118,89.1580182,,
North America,NAC,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,NCL,2008,,,20.2538,,,,,,,,,,,,,,,,,,,,,,2.2,79.6,73.9,68.926,122.838,,,,,,,,,,,,,,,,,,88.0165112,78.658577,,
Norway,NOR,1986,96.42194,96.3678,17.637,,6055,6436,,,,,,,,,,,,,,,,,,,1.71,79.76,72.89,69.9,138.078,99.50567627,98.51238251,,,,0,0,99.87757111,87.72016,94.77816772,84.35261,31.58432007,27.75181007,50.76171,50.04304,,48.1711,88.5264492,77.7679932,,
Pakistan,PAK,1965,,,112.675,,,,,,,,,,,,,,,,,,,,,,6.6,49.54,49.357,329.365,317.552,,,,,,,,,,,,,,,,,,45.3577958,45.0446478,,
Pakistan,PAK,1989,,,89.1232,,,,,,,,,,,,,,,,,,,,,,6.225,60.556,59.178,198.604,220.872,,,32.63618851,,,,,12.42640018,,29.73111916,,,,28.13482,28.27185,30.52506065,31.95743,62.284522,59.1601164,,
Pakistan,PAK,1994,,,73.7322,,,,,,,,,,,,,,,,,,,,,,5.808,61.993,60.581,186.176,211.242,,,,,,,,,,,,,,,,,,64.4086446,60.8075242,,
Philippines,PHL,2013,,,56.654,72.8,,,,,,19.23904991,14.71033001,16.99505997,71.10736847,68.9905777,70.0585022,34.26012039,31.41596031,32.85084152,28.40645981,24.7318306,26.58568001,60.11275864,56.77064896,58.45674133,2.979,74.673,66.326,140.953,265.03,,,,,,,,,,,,37.46533966,29.72991943,,,,,78.945291,63.9180282,,
Philippines,PHL,1970,,,57.9248,,,,,,,,,,20.61347008,27.01741028,23.76066971,8.800169945,10.36289024,9.568160057,,,,15.40781021,20.69698906,18.00716019,6.264,65.68,60.762,234.833,297.059,,,,,,,,,,,,,,,,,,69.588443,59.0171286,,
West Bank and Gaza,PSE,1982,,,97.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.149478,61.018335,,
Pacific island small states,PSS,1981,,,65.7625991,,,,,,,,,,,,,,,,,,,,,,4.925792725,65.4262089,61.67245111,225.0201018,282.1658163,82.91089,81.93964,52.6515,78.6472,76.37622,3.75745,5.27665,64.89594,,65.27677,,3.028949976,5.774099827,48.61574,48.43634,,44.88292,66.91173736,56.6003724,,
Pacific island small states,PSS,2000,79.31557,81.21508,48.69059229,89.63435664,17169,15636,,,,,,,,,,,,,,,,,,,3.861957269,68.26386739,64.98133303,175.245873,242.8212896,82.34408,78.80974,54.11784,81.21226,81.94421,3.11039,3.88028,64.84113,57.27148,60.68451,52.96973,9.12967968,8.677840233,50.29566,49.93645,48.73294,38.60482,71.01557921,61.98373368,,
French Polynesia,PYF,1963,,,106.7916,,,,,,,,,,,,,,,,,,,,,,5.43,59.202,55.969,311.4,370.194,,,,,,,,,,,,,,,,,,53.0502276,46.7001126,,
Russian Federation,RUS,2016,97.9711,96.73209,21.8432,,6234,30623,,,,,,,,,,,,,,,,,,,1.762,77.06,66.5,,,,,98.87905121,,,0.27562,0.27899,101.4869614,,103.2646179,,87.72640991,73.87737274,50.06963,48.39002,,39.4675,83.2870556,59.479115,,
Saudi Arabia,SAU,1963,,,124.704,,,,,,,,,,,,,,,,,,,,,,7.252,49.309,45.262,313.629,386.532,,,,,,,,,,,,,,,,,,45.408327,37.400052,,
Singapore,SGP,1971,,,26.6822,,,,,,,,,,,,,,,,,,,,,,3.02,72.096,65.369,134.511,227.323,,,66.09277344,,,,,,,,,,,51.65636,48.06992,41.05741882,17.7435,77.1188242,63.1706,,
San Marino,SMR,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.30409241,,,,,50.63505936,,50.61162186,,,,47.46032,47.46032,60.57143021,,,,,
Somalia,SOM,1963,,,55.389,,,,,,,,,,,,,,,,,,,,,,7.258,39.73,36.669,441.519,503.646,,,,,,,,,,,,,,,,,,30.9668378,25.5782262,,
Sao Tome and Principe,STP,2001,,,111.9328,,,,,,,,,,,,,,,,,,,,,,5.131,64.021,60.013,192.958,244.971,,,,,,,,,,,,,,,,,,65.6951072,56.6750122,,
Chad,TCD,2003,47.2464,67.85252,206.9984,,426305,262371,,,,,,,,,,,,,,,,,,,7.212,49.241,46.885,392.446,427.802,,,9.428819656,57.37042,69.84987,24.45219,23.43548,7.199110031,5.24391,22.25745964,15.73714,0.188889995,1.65000999,24.04427,24.25176,5.232120037,36.75115,42.49174,37.8429478,,
East Asia & Pacific (IDA & IBRD countries),TEA,1998,,,23.06029688,,8141444,6921654,,,,,,,,,,,,,,,,,,,1.915749184,71.88717842,67.52975312,114.1119984,165.1120523,88.54628,87.78897,52.64697,83.04876,84.86347,2.34019,2.76281,55.0894,58.04937,60.06295,63.11582,8.224769592,9.929120064,46.70452,46.62245,43.38759,46.10582,78.86886481,71.37766573,,
Togo,TGO,1985,46.34194,69.80282,130.1728,,146611,81780,,,,,,,,,,,,,,,,,,,6.808,56.494,52.864,246.301,308.513,28.53697968,50.38843155,20.28362083,59.98019,70.498,38.14784,35.56768,8.896089554,,28.38200951,,,,23.97458,24.03105,,24.91761,55.9641136,48.3366202,,
Thailand,THA,1961,,,60.3518,,,,,,,,,,,,,,,,,,,,,,6.151,57.617,52.965,282.731,335.353,,,,,,,,,,,,,,,,,,54.8440552,45.9611416,,
Tajikistan,TJK,1976,,,60.2662,,,,,,,,,,,,,,,,,,,,,,6.197,58.011,54.612,139.328,182.918,,,,,,,,,,,,,,,,,,56.627286,50.1939972,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,2009,96.85902,96.20583,71.96301926,,597223,787142,,,,,,,,,,,,,,,,,,,2.227885991,77.05386646,70.564871,101.3442833,190.0066241,85.45187,81.971,77.92421,93.83781,95.50661,5.81795,7.11615,92.01197,74.79004,84.24649,69.24065,43.41302109,34.36595917,51.00074,51.26636,59.23627,53.78066,82.99669441,71.70845194,,
